"Address Line 1 Start","Address Line 1 Start"
"Address Line 1 End","Address Line 1 End"
"Address Line 2","Address Line 2"
"Address Autocomplete","Address Autocomplete"
"API Key","API Key"
"Street Number Placement","Street Number Placement"
"Restrict the search to a specific countries","Restrict the search to a specific countries"
