"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"Checkout Cart","Checkout Cart"
"Display Product Name as Link","Display Product Name as Link"
"Move Totals Under Product Details in Order Summary","Move Totals Under Product Details in Order Summary"
